,super_opeid,instnm,cz,czname,cfips,region,state,Inventors_Actual,Inventors_Actual_pq1,Inventors_Actual_pq2,Inventors_Actual_pq3,Inventors_Actual_pq4,Inventors_Actual_pq5,top5cit_actual
0,1,University Of Hawaii And Hawaii Community Colleges,34701,Honolulu,15003,4.0,HI,28.0,1.0,3.0,3.0,5.0,16.0,2.0
1,4,Coast Community College District,38300,Los Angeles,6059,4.0,CA,40.0,5.0,4.0,5.0,7.0,19.0,3.0
2,13,Kern & North Orange County Community College Districts,38300,Los Angeles,6059,4.0,CA,21.0,3.0,0.0,5.0,4.0,9.0,0.0
3,16,San Mateo County Community College District,37800,San Francisco,6081,4.0,CA,18.0,3.0,6.0,1.0,3.0,5.0,1.0
4,19,Foothill-Deanza Community College District,37500,San Jose,6085,4.0,CA,53.0,7.0,1.0,10.0,6.0,29.0,3.0
5,21,University Of Alaska System,34102,Anchorage,2020,4.0,AK,12.0,0.0,3.0,0.0,6.0,3.0,0.0
6,22,Spokane And Spokane Falls Community Colleges,38601,Spokane,53063,4.0,WA,10.0,0.0,1.0,1.0,1.0,7.0,0.0
7,26,University Of Colorado System,28900,Denver,8013,4.0,CO,263.0,4.0,8.0,22.0,46.0,183.0,18.0
8,27,West Valley-Mission Community College District,37500,San Jose,6085,4.0,CA,26.0,4.0,1.0,2.0,1.0,18.0,0.0
9,40,Louisiana State University System,3500,Baton Rouge,22033,3.0,LA,76.0,4.0,2.0,11.0,17.0,42.0,1.0
10,63,University Of South Carolina System,8100,Columbia,45079,3.0,SC,43.0,0.0,7.0,8.0,7.0,21.0,1.0
11,64,"West Virginia University, West Virginia University Institute Of Technology, West Virginia University - Parkersburg, And Potomac State College",16702,Morgantown,54061,3.0,WV,56.0,4.0,6.0,11.0,13.0,22.0,2.0
12,71,University Of Nebraska System,28101,Lincoln,31109,2.0,NE,118.0,2.0,9.0,23.0,40.0,44.0,3.0
13,82,"Minnesota State University System, Century And Various Other Minnesota Community Colleges",21400,St. Cloud,27145,2.0,MN,259.0,11.0,32.0,78.0,78.0,60.0,12.0
14,85,Certain Colorado Community Colleges,28900,Denver,8001,4.0,CO,42.0,2.0,0.0,7.0,10.0,23.0,3.0
15,91,"Devry University, Devry Institute Of Technology And Denver Technical College",24300,Chicago,17031,2.0,IL,64.0,10.0,10.0,13.0,20.0,11.0,5.0
16,94,ITT Technical Institute,14200,Indianapolis,18097,2.0,IN,59.0,6.0,13.0,14.0,15.0,11.0,1.0
17,97,Ivy Tech Community College Of Indiana System,14200,Indianapolis,18097,2.0,IN,26.0,3.0,6.0,6.0,7.0,4.0,1.0
18,100,Riverside Community College District,38300,Los Angeles,6065,4.0,CA,14.0,0.0,3.0,5.0,3.0,3.0,1.0
19,108,University Of Pittsburgh System,16300,Pittsburgh,42003,1.0,PA,144.0,6.0,21.0,24.0,39.0,54.0,4.0
20,125,University Of Massachusetts System,20800,Springfield,25015,1.0,MA,199.0,9.0,19.0,31.0,41.0,99.0,7.0
21,129,Harvard University,20500,Boston,25017,1.0,MA,144.0,1.0,5.0,7.0,16.0,115.0,8.0
22,133,University Of Maine System,20001,Bangor,23019,1.0,ME,70.0,3.0,10.0,12.0,22.0,23.0,0.0
23,1009,Auburn University,9800,Auburn,1081,3.0,AL,91.0,0.0,5.0,6.0,21.0,59.0,8.0
24,1051,University Of Alabama,10801,Tuscaloosa,1125,3.0,AL,25.0,0.0,2.0,4.0,8.0,11.0,1.0
25,1055,University Of Alabama In Huntsville,6000,Huntsville,1089,3.0,AL,23.0,1.0,3.0,2.0,8.0,9.0,0.0
26,1089,Arkansas Tech University,30000,Russellville,5115,3.0,AR,12.0,0.0,1.0,6.0,4.0,1.0,1.0
