,State,Code,Count,#ofApplicants,#ofGrantees,%ofApplicants,%ofGrantees,ConversionRate
0,Alabama,AL,42178180,10290.0,8992.0,0.024396539540112894,0.02131914639038478,87.38594404067737
1,Alaska,AK,6408880,869.0,847.0,0.013559247497222605,0.013215999160539756,97.4685296012691
2,Arizona,AZ,49827590,42661.0,35747.0,0.08561707708721211,0.07174115357174614,83.79304224397717
3,Arkansas,AR,25234430,4633.0,3932.0,0.018359833810393168,0.015581900201431124,84.86950569569152
4,California,CA,325561500,521479.0,444906.0,0.16017827010564828,0.13665804892777553,85.31622225514135
5,Colorado,CO,46262210,53801.0,44420.0,0.1162958122298957,0.09601793401785175,82.56353533009573
6,Connecticut,CT,34732300,52164.0,41252.0,0.1501888878076027,0.11877123285241695,79.0812386896207
7,Delaware,DE,8317030,10996.0,8621.0,0.13221079290323595,0.10365485235715155,78.40120317031585
8,District of Columbia,DC,5283940,2641.0,1871.0,0.04998179773048144,0.035409023910188256,70.84383819310692
9,Florida,FL,169018300,66862.0,54657.0,0.03955885706222347,0.03233796385184326,81.74645642814646
10,Georgia,GA,82197590,43926.0,34957.0,0.053439463933188325,0.04252807009183599,79.58176778308612
11,Hawaii,HI,12794030,2539.0,1996.0,0.019845114088367793,0.015601014309017568,78.61388067384354
12,Idaho,ID,13437930,15234.0,13402.0,0.1133657060425229,0.09973265111516424,87.97426893610582
13,Illinois,IL,121544440,104279.0,85496.0,0.08579487994037395,0.07034129955224609,81.98775917762478
14,Indiana,IN,61772650,41611.0,34439.0,0.06736158821258269,0.055751253358889405,82.76416105711036
15,Iowa,IA,29443520,17183.0,15792.0,0.05835923938781776,0.053634936390078373,91.90478997448078
16,Kansas,KS,26810170,11515.0,11316.0,0.04295021749209345,0.04220794274336935,98.27177883590291
17,Kentucky,KY,39051410,14193.0,11826.0,0.03634447956168545,0.03028303634363005,83.32224510804274
18,Louisiana,LA,39131630,8912.0,7635.0,0.022774424456635183,0.01951121961185875,85.67162541916305
19,Maine,ME,13310980,4785.0,3779.0,0.03594783189517222,0.028390081714494336,78.97578301045498
20,Maryland,MD,54919690,45993.0,35096.0,0.08374588816688516,0.06390418658408312,76.30725278922068
21,Massachusetts,MA,63522480,133569.0,104002.0,0.2102703293338044,0.16372477113456516,77.86394383520077
22,Michigan,MI,96932190,105472.0,88904.0,0.10881008257731509,0.09171776715763867,84.29160697720134
23,Minnesota,MN,51704680,84067.0,67370.0,0.1625907500017405,0.13029770866583057,80.13845108927524
24,Mississippi,MS,25023530,3947.0,3393.0,0.01577317897594785,0.013559250285631177,85.96396646679378
25,Missouri,MO,55837550,25439.0,17732.0,0.04555889110643284,0.031756417772627915,69.70410605130809
26,Montana,MT,9482230,3389.0,2733.0,0.03574062910306967,0.028822417321663775,80.64328481332831
27,Nebraska,NE,17392120,5459.0,4918.0,0.03138793379415504,0.02827722729029003,90.08948303425987
28,Nevada,NV,22791100,10865.0,8515.0,0.047672202078881704,0.03736114801830539,78.37092978521333
29,New Hampshire,NH,13735650,18817.0,15646.0,0.13699398711382424,0.11390805732528142,83.14821673935118
30,New Jersey,NJ,86379550,102480.0,82078.0,0.11863936221015278,0.09502040951243666,80.09180742570202
31,New Mexico,NM,17174440,9363.0,9128.0,0.054517073779407094,0.05314873112019961,97.49006583745816
32,New York,NY,176144920,156283.0,129000.0,0.08872402156587873,0.07323528980625725,82.54279789592167
33,North Carolina,NC,83243880,62175.0,50293.0,0.0746902168820098,0.06041651807916695,80.88946665479442
34,North Dakota,ND,6551100,2159.0,1878.0,0.032956122910656215,0.028666827616736133,86.9848303893382
35,Ohio,OH,112500330,88551.0,75749.0,0.0787118486034663,0.06733246825498204,85.54298933339606
36,Oklahoma,OK,32869340,11791.0,10490.0,0.035872162976195984,0.03191419408177953,88.96646155113957
37,Oregon,OR,35467090,41621.0,35845.0,0.11735099339697715,0.10106553488882239,86.12243660088672
38,Pennsylvania,PA,123951460,97746.0,77870.0,0.078858239176852,0.06282293545957429,79.66565842116255
39,Rhode Island,RI,10144350,7403.0,6508.0,0.07297664684282376,0.06415393139037981,87.9102208252371
40,South Carolina,SC,40072000,18121.0,14516.0,0.04522121169894186,0.03622482299361152,80.10582121234748
41,South Dakota,SD,7770970,2020.0,1888.0,0.025993954847335663,0.02429537858208178,93.46549505363943
42,Tennessee,TN,57688840,23754.0,19547.0,0.04117613665658734,0.03388353701339808,82.28925723651493
43,Texas,TX,207811640,159901.0,131476.0,0.07694512728449662,0.06326692150786165,82.22342822819536
44,Utah,UT,22153580,23631.0,18344.0,0.10666890180277883,0.08280377775510776,77.62691501990382
45,Vermont,VT,6438820,9256.0,8402.0,0.14375305276432643,0.13048976559369574,90.77356138490154
46,Virginia,VA,75175850,38678.0,30907.0,0.05144989721300125,0.0411128757107502,79.90856724269818
47,Washington,WA,63082250,100633.0,82177.0,0.15952672130908446,0.13026961171169382,81.66005710058772
48,West Virginia,WV,16979390,3440.0,2906.0,0.020259848522237854,0.017114786744400125,84.47638058899794
49,Wisconsin,WI,56197100,52983.0,46160.0,0.0942807427251583,0.08213958148552145,87.12233178409504
50,Wyoming,WY,5375670,1808.0,1516.0,0.03363297797297826,0.028201124027330562,83.84961941219771
