,CZ,CZName,State,Code,Standard CZ,Count,#ofApplicants,#ofGrantees,%ofApplicants,%ofGrantees,ConversionRate,County FIPS Code,CZ90
0,100,Johnson City,Tennessee,TN,100,5738000,3417.0,2796.0,0.05955049827466017,0.0487277676368073,0.8182596124059949,47019,100
1,100,Johnson City,Tennessee,TN,100,5738000,3417.0,2796.0,0.05955049827466017,0.0487277676368073,0.8182596124059949,47059,100
2,100,Johnson City,Tennessee,TN,100,5738000,3417.0,2796.0,0.05955049827466017,0.0487277676368073,0.8182596124059949,47073,100
3,100,Johnson City,Tennessee,TN,100,5738000,3417.0,2796.0,0.05955049827466017,0.0487277676368073,0.8182596124059949,47163,100
4,100,Johnson City,Tennessee,TN,100,5738000,3417.0,2796.0,0.05955049827466017,0.0487277676368073,0.8182596124059949,47171,100
5,100,Johnson City,Tennessee,TN,100,5738000,3417.0,2796.0,0.05955049827466017,0.0487277676368073,0.8182596124059949,47179,100
6,100,Johnson City,Tennessee,TN,100,5738000,3417.0,2796.0,0.05955049827466017,0.0487277676368073,0.8182596124059949,51169,100
7,100,Johnson City,Tennessee,TN,100,5738000,3417.0,2796.0,0.05955049827466017,0.0487277676368073,0.8182596124059949,51173,100
8,100,Johnson City,Tennessee,TN,100,5738000,3417.0,2796.0,0.05955049827466017,0.0487277676368073,0.8182596124059949,51191,100
9,100,Johnson City,Tennessee,TN,100,5738000,3417.0,2796.0,0.05955049827466017,0.0487277676368073,0.8182596124059949,51520,100
10,200,Morristown,Tennessee,TN,200,2493470,468.0,438.0,0.018768974361031022,0.017565876228709386,0.9358996336624785,47029,200
11,200,Morristown,Tennessee,TN,200,2493470,468.0,438.0,0.018768974361031022,0.017565876228709386,0.9358996336624785,47057,200
12,200,Morristown,Tennessee,TN,200,2493470,468.0,438.0,0.018768974361031022,0.017565876228709386,0.9358996336624785,47063,200
13,200,Morristown,Tennessee,TN,200,2493470,468.0,438.0,0.018768974361031022,0.017565876228709386,0.9358996336624785,47089,200
14,200,Morristown,Tennessee,TN,200,2493470,468.0,438.0,0.018768974361031022,0.017565876228709386,0.9358996336624785,47155,200
15,301,Middlesborough,Tennessee,TN,301,548360,26.0,23.0,0.00474144175359253,0.004194334378875192,0.8846116006164575,21013,301
16,301,Middlesborough,Tennessee,TN,301,548360,26.0,23.0,0.00474144175359253,0.004194334378875192,0.8846116006164575,47025,301
17,301,Middlesborough,Tennessee,TN,301,548360,26.0,23.0,0.00474144175359253,0.004194334378875192,0.8846116006164575,47067,301
18,302,Knoxville,Tennessee,TN,302,7511220,5539.0,4630.0,0.07374304058461885,0.061641094229698934,0.8358903259347823,47001,302
19,302,Knoxville,Tennessee,TN,302,7511220,5539.0,4630.0,0.07374304058461885,0.061641094229698934,0.8358903259347823,47009,302
20,302,Knoxville,Tennessee,TN,302,7511220,5539.0,4630.0,0.07374304058461885,0.061641094229698934,0.8358903259347823,47013,302
21,302,Knoxville,Tennessee,TN,302,7511220,5539.0,4630.0,0.07374304058461885,0.061641094229698934,0.8358903259347823,47093,302
22,302,Knoxville,Tennessee,TN,302,7511220,5539.0,4630.0,0.07374304058461885,0.061641094229698934,0.8358903259347823,47105,302
23,302,Knoxville,Tennessee,TN,302,7511220,5539.0,4630.0,0.07374304058461885,0.061641094229698934,0.8358903259347823,47129,302
24,302,Knoxville,Tennessee,TN,302,7511220,5539.0,4630.0,0.07374304058461885,0.061641094229698934,0.8358903259347823,47145,302
25,302,Knoxville,Tennessee,TN,302,7511220,5539.0,4630.0,0.07374304058461885,0.061641094229698934,0.8358903259347823,47173,302
26,401,Winston-Salem,North Carolina,NC,401,5336050,3196.0,2645.0,0.0598944771319609,0.04956844611650944,0.8275962741489351,37059,401
27,401,Winston-Salem,North Carolina,NC,401,5336050,3196.0,2645.0,0.0598944771319609,0.04956844611650944,0.8275962741489351,37067,401
28,401,Winston-Salem,North Carolina,NC,401,5336050,3196.0,2645.0,0.0598944771319609,0.04956844611650944,0.8275962741489351,37169,401
29,401,Winston-Salem,North Carolina,NC,401,5336050,3196.0,2645.0,0.0598944771319609,0.04956844611650944,0.8275962741489351,37171,401
30,401,Winston-Salem,North Carolina,NC,401,5336050,3196.0,2645.0,0.0598944771319609,0.04956844611650944,0.8275962741489351,37197,401
31,402,Martinsville,Virginia,VA,402,893530,152.0,118.0,0.017011293073539786,0.013206159054536504,0.7763171792671083,51089,402
32,402,Martinsville,Virginia,VA,402,893530,152.0,118.0,0.017011293073539786,0.013206159054536504,0.7763171792671083,51141,402
33,402,Martinsville,Virginia,VA,402,893530,152.0,118.0,0.017011293073539786,0.013206159054536504,0.7763171792671083,51690,402
34,500,Greensboro,North Carolina,NC,500,10654760,4286.0,4016.0,0.0402263861598009,0.037692220491123196,0.9370024028852448,37001,500
35,500,Greensboro,North Carolina,NC,500,10654760,4286.0,4016.0,0.0402263861598009,0.037692220491123196,0.9370024028852448,37033,500
